## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[_03_Align/hcc1395_normal_rep1/accepted_hits.bam] OUTPUT=_03_Align/hcc1395_normal_rep1/mk_dup.bam METRICS_FILE=_03_Align/hcc1395_normal_rep1/mkDup_metrics.txt REMOVE_DUPLICATES=false ASSUME_SORTED=false VERBOSITY=WARNING QUIET=false VALIDATION_STRINGENCY=LENIENT MAX_RECORDS_IN_RAM=2500000 CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true ADD_PG_TAG_TO_READS=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 COMPRESSION_LEVEL=5 CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Nov 19 07:36:14 CST 2017

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	3527	323087	22233	0	1804	42748	746	0.13437	1126931

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.001998
2.0	1.754238
3.0	2.318974
4.0	2.742944
5.0	3.061235
6.0	3.300189
7.0	3.479581
8.0	3.614258
9.0	3.715365
10.0	3.79127
11.0	3.848255
12.0	3.891036
13.0	3.923153
14.0	3.947265
15.0	3.965367
16.0	3.978956
17.0	3.989159
18.0	3.996818
19.0	4.002568
20.0	4.006885
21.0	4.010126
22.0	4.012559
23.0	4.014385
24.0	4.015757
25.0	4.016786
26.0	4.017559
27.0	4.018139
28.0	4.018575
29.0	4.018902
30.0	4.019147
31.0	4.019332
32.0	4.01947
33.0	4.019574
34.0	4.019652
35.0	4.01971
36.0	4.019754
37.0	4.019787
38.0	4.019812
39.0	4.019831
40.0	4.019845
41.0	4.019855
42.0	4.019863
43.0	4.019869
44.0	4.019873
45.0	4.019877
46.0	4.019879
47.0	4.019881
48.0	4.019882
49.0	4.019883
50.0	4.019884
51.0	4.019885
52.0	4.019885
53.0	4.019886
54.0	4.019886
55.0	4.019886
56.0	4.019886
57.0	4.019886
58.0	4.019886
59.0	4.019886
60.0	4.019887
61.0	4.019887
62.0	4.019887
63.0	4.019887
64.0	4.019887
65.0	4.019887
66.0	4.019887
67.0	4.019887
68.0	4.019887
69.0	4.019887
70.0	4.019887
71.0	4.019887
72.0	4.019887
73.0	4.019887
74.0	4.019887
75.0	4.019887
76.0	4.019887
77.0	4.019887
78.0	4.019887
79.0	4.019887
80.0	4.019887
81.0	4.019887
82.0	4.019887
83.0	4.019887
84.0	4.019887
85.0	4.019887
86.0	4.019887
87.0	4.019887
88.0	4.019887
89.0	4.019887
90.0	4.019887
91.0	4.019887
92.0	4.019887
93.0	4.019887
94.0	4.019887
95.0	4.019887
96.0	4.019887
97.0	4.019887
98.0	4.019887
99.0	4.019887
100.0	4.019887

